,ROI1,ROI2,ROI3,ROI4,ROI5,ROI6,ROI7,ROI8,ROI9,ROI10,ROI11,ROI12,ROI13,ROI14,ROI15,ROI16,ROI17,ROI18,ROI19,ROI20,ROI21,ROI22,ROI23,ROI24,ROI25,ROI26,ROI27,ROI28,ROI29,ROI30,ROI31,ROI32,ROI33,ROI34,ROI35,ROI36,ROI37,ROI38,ROI39,ROI40,ROI41,ROI42,ROI43,ROI44,ROI45,ROI46,ROI47,ROI48,ROI49,ROI50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Subject55,1.602856578,1.643159888,1.674684193,1.579622585,1.651659149,1.657072311,1.574739024,1.670901783,1.724002075,1.611922308,1.787471471,1.843276465,1.785618751,1.738688476,2.102492541,1.773159475,1.816144981,1.734407202,1.802201901,1.963409078,1.574112239,1.682753175,1.656138852,1.76402242,1.984239065,2.218982493,2.230189446,2.344260087,2.083214909,2.074321289,1.912719097,1.88616877,1.831626679,1.867488605,1.647654482,1.441738991,1.825350843,1.973476518,1.764964517,1.89318186,1.496915678,1.668352717,1.410669113,1.799691189,1.314259819,1.412172509,1.458284028,1.468529856,1.138422929,1.333325908,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Subject56,1.16898588,1.19102331,1.206869268,1.117159338,1.239855458,1.203606635,1.097631534,1.140903077,1.170735639,0.961567362,1.016641468,1.298197158,1.231956432,1.11811406,1.227719503,1.158671038,1.111322515,1.181835144,1.169125079,1.226381283,1.236585052,1.229324712,0.975032445,1.09471983,1.177801822,1.34890906,1.314562917,1.338992182,1.565837099,1.713649512,1.293781203,1.269447699,1.215668376,1.165940413,1.032343097,0.951629431,1.177958824,1.229486398,1.259735957,1.247140185,1.160436698,1.232181415,1.025388094,1.144674768,1.255319306,1.262121175,1.097222419,1.067792762,1.107828903,1.16847516,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Subject57,0.972452362,0.997223589,0.922958184,0.918881531,0.964060451,0.924186057,0.887516073,0.918221626,0.954534442,0.827920301,0.887394423,0.979557786,0.958075992,0.852099288,0.978510332,0.860288323,0.938931831,0.889284591,0.895493143,0.982073713,0.935523888,0.954074972,0.86013767,0.996352695,1.003215421,1.115152927,0.998015481,1.121341208,1.097886797,1.187746261,0.835439499,0.908580451,0.780652946,0.867710296,0.636289643,0.602720521,0.80655642,0.873585217,0.863497059,0.938342572,0.960146852,1.027100859,0.835242829,1.017081669,1.10047879,1.100622323,0.855240038,0.896540339,0.900994684,0.962123057,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Subject58,1.514337176,1.557331827,1.640186778,1.541216926,1.649332336,1.618269394,1.537030242,1.50732697,1.557297218,1.486455393,1.490558765,1.765325308,1.73663365,1.732872773,1.838514891,1.627175545,1.665207732,1.723089494,1.697815701,1.719570491,1.670429191,1.591349231,1.392086167,1.47918929,1.770210849,1.810474642,1.895963647,1.872881417,1.973994313,2.054486017,1.78892532,1.714097425,1.539787388,1.512161895,1.541703243,1.387462577,1.621176845,1.690874362,1.611875437,1.774121157,1.514563929,1.517800604,1.669485481,1.735581537,1.441332779,1.468453734,1.574816119,1.490942829,1.212846153,1.347731258,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Subject59,1.289472701,1.230526858,1.352135059,1.245514287,1.326254396,1.293477935,1.200674246,1.118120302,1.198239905,0.872247834,0.956164013,1.262301476,1.244621446,1.179348712,1.332453909,1.262211647,1.158452804,1.292704487,1.154224348,1.242833846,1.368800244,1.267346495,1.004678674,1.131627822,1.405126494,1.62024529,1.428297158,1.474957239,1.779888585,1.950355982,1.465361244,1.405453889,1.233836893,1.162351344,1.012604193,0.877901168,1.203925824,1.361886155,1.26854962,1.329010557,1.302160819,1.488687423,1.212321555,1.260559427,1.43436908,1.583302301,1.197425837,1.221914167,1.089084109,1.239786024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Subject60,1.135872249,1.245763901,1.167872837,1.130170752,1.204425534,1.256432442,1.106972036,1.240170543,1.322999211,1.051043814,1.160079784,1.139435537,1.153778704,1.002308739,1.226298917,1.153964595,1.223977702,1.098858105,1.051231251,1.150795374,1.089306907,1.155158132,1.267778307,1.406616823,1.347102808,1.569607301,1.63436437,1.703947232,1.693208554,1.885370042,1.429017858,1.410002009,1.309368854,1.194754739,1.226842807,1.148533521,1.360818189,1.493947911,1.303418343,1.315520109,1.258756008,1.474131815,1.049573295,1.14408185,1.390166394,1.562087518,1.099781118,1.146247555,1.090254572,1.335044233,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Subject61,1.205660538,1.283980874,1.231933573,1.255296795,1.302699541,1.27805523,1.178997551,1.100320901,1.203692927,1.007833864,1.100333182,1.243776489,1.262239412,1.185824012,1.306206071,1.060652768,1.123200478,1.19024041,1.200263043,1.343010944,1.322537069,1.290009686,1.112325641,1.240152694,1.340156305,1.46150833,1.31520336,1.421318203,1.600639921,1.888134168,1.139504874,1.137811863,1.048734939,1.048210783,0.890042658,0.804293262,1.09496749,1.223481292,1.214838519,1.276962969,1.235224592,1.326119947,1.13615287,1.163306727,1.32835402,1.342906059,1.152558854,1.220004368,1.163575369,1.253096794,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Subject62,1.564529809,1.544230499,1.620446737,1.446648076,1.637968927,1.511395591,1.51388772,1.569722734,1.635422169,1.487565345,1.615120834,1.75414532,1.6287648,1.646633045,1.917632261,1.65799563,1.644852534,1.61572033,1.751982752,1.843299985,1.562527139,1.50632698,1.441895508,1.420160444,1.727048582,1.977005841,1.925675532,1.950554517,2.094404445,2.096278267,1.836973149,1.702389875,1.663493362,1.586749479,1.303648762,1.087291508,1.660752916,1.700661125,1.547128922,1.632335071,1.592321465,1.601437434,1.561127626,1.497270401,1.416665271,1.338680502,1.643889244,1.644085113,1.398279187,1.441667938,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Subject63,1.405794974,1.36107588,1.28090362,1.193979969,1.4884818,1.295257555,1.251390055,1.241001987,1.263300683,1.097991681,1.146264827,1.351838369,1.345459874,1.305538771,1.443384711,1.309473271,1.275351447,1.250946866,1.367294138,1.437731297,1.494621545,1.309779941,1.150583348,1.349786315,1.520576111,1.706593114,1.595228458,1.658791656,1.829010205,1.943299029,1.414225346,1.295534651,1.17029061,1.131011645,0.943865268,0.826604059,1.22091721,1.308798167,1.351063209,1.296710974,1.379653415,1.358328287,1.479702117,1.419490055,1.444961345,1.471798444,1.320022764,1.341226194,1.287215351,1.366537816,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Subject64,1.222353762,1.246293679,1.31954016,1.119798654,1.371517938,1.229355163,1.090886269,1.247705874,1.319294505,1.040327417,1.115226062,1.361969741,1.286507018,1.205548313,1.37038125,1.2737698,1.203716107,1.273145047,1.288660054,1.314811328,1.403814563,1.392342049,1.148988338,1.222243576,1.42209969,1.646601,1.420138078,1.58175988,1.786910884,2.02446019,1.368737858,1.209847029,1.329859503,1.239962116,1.080378745,0.854807143,1.188766305,1.302201199,1.428564727,1.34376917,1.516135673,1.433988985,1.428843537,1.444488891,1.554100316,1.480159169,1.238033247,1.301046402,1.284793319,1.358281685,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Subject65,1.362592583,1.208978498,1.288613266,1.207634625,1.332752069,1.215351061,1.069303886,1.007299236,0.991187075,0.98647153,1.02188683,1.358473168,1.256450556,1.289861784,1.372826555,1.079949449,1.051001363,1.233248936,1.309272933,1.35755414,1.402590089,1.318394815,0.961365371,1.150035554,1.403811439,1.576564418,1.356995092,1.466263562,1.626438228,1.770188778,1.35888472,1.210219093,1.090159895,1.043262866,0.904011042,0.760287063,1.186092102,1.243713617,1.286306735,1.191343815,1.313582762,1.326420139,1.254397607,1.309037596,1.366154576,1.369049223,1.158133232,1.224593999,1.113441111,1.229835384,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Subject66,1.635875392,1.59430963,1.667345122,1.575196221,1.649840943,1.650004968,1.682155197,1.600205261,1.675409013,1.524757359,1.542062836,1.851817185,1.772633697,1.701269519,1.891151841,1.696994396,1.671463319,1.796039146,1.81850469,1.861260555,1.668136711,1.630961587,1.513667074,1.61334465,1.890641345,1.969565672,1.91683015,1.984872081,1.979456938,1.973092486,1.900927678,1.798468717,1.617578764,1.673248156,1.293900902,1.237022827,1.650638103,1.807528228,1.762464315,1.813580392,1.493262912,1.67385412,1.624584001,1.705291435,1.4214336,1.548252656,1.618963441,1.60522642,1.248046747,1.443953025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Subject67,1.740801301,1.502872764,1.654894224,1.432089246,1.621905973,1.512491581,1.570266442,1.414918371,1.378283027,1.28903115,1.380233947,1.763737558,1.713943172,1.594530672,1.688987775,1.512476212,1.496517459,1.626543623,1.669445628,1.684675871,1.725607248,1.525942995,1.227556507,1.456911674,1.57943885,1.659788588,1.671920921,1.748686234,1.952958244,1.846368303,1.730652631,1.489382359,1.542509204,1.311477202,1.351160267,1.092819982,1.568531306,1.584821048,1.714910509,1.535102859,1.604335655,1.456872178,1.644751103,1.394754905,1.561850247,1.391639756,1.371616735,1.255485688,1.115848542,1.128399885,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Subject68,1.329296062,1.184267925,1.193709663,1.128369698,1.336755283,1.200238158,1.147261742,1.156429587,1.12240696,1.013224617,1.085520136,1.307879431,1.270621977,1.148331122,1.273671055,1.086509131,1.110620325,1.248463316,1.201936263,1.324324975,1.352829101,1.320305811,1.107298319,1.175791905,1.310621109,1.446165224,1.398371978,1.470277424,1.565028724,1.838975659,1.250782818,1.162542164,1.09330521,1.053595612,0.78124153,0.839396193,1.129840734,1.207004575,1.312166469,1.313124318,1.222080484,1.283511693,1.20102396,1.205258435,1.364021439,1.367886956,1.076322291,1.137283172,1.131482216,1.175219578,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
